q,m,reads,alignment_rate
10,20,1086246,82.89
10,25,1086246,82.89
10,30,1086246,82.89
10,35,1086246,82.89
10,40,1086246,82.89
10,45,1086246,82.89
10,50,1017788,82.83
11,20,1086246,82.89
11,25,1086246,82.89
11,30,1086246,82.89
11,35,1086246,82.89
11,40,1086246,82.89
11,45,1086245,82.89
11,50,1017032,82.83
12,20,1086246,82.90
12,25,1086246,82.90
12,30,1086246,82.90
12,35,1086246,82.90
12,40,1086245,82.90
12,45,1086234,82.90
12,50,1015550,82.84
13,20,1086246,82.89
13,25,1086246,82.89
13,30,1086246,82.89
13,35,1086246,82.89
13,40,1086244,82.89
13,45,1086193,82.90
13,50,1013712,82.84
14,20,1086246,82.92
14,25,1086246,82.92
14,30,1086246,82.92
14,35,1086246,82.92
14,40,1086244,82.92
14,45,1085958,82.93
14,50,1000656,82.90
15,20,1086246,82.94
15,25,1086246,82.94
15,30,1086246,82.94
15,35,1086246,82.94
15,40,1086236,82.94
15,45,1085333,82.95
15,50,973430,82.98
16,20,1086246,82.88
16,25,1086246,82.88
16,30,1086246,82.88
16,35,1086244,82.88
16,40,1086175,82.88
16,45,1083498,82.92
16,50,920200,83.03
17,20,1086245,82.82
17,25,1086244,82.82
17,30,1086239,82.82
17,35,1086188,82.82
17,40,1085523,82.83
17,45,1074359,82.98
17,50,878692,83.16
18,20,1086044,82.68
18,25,1086014,82.68
18,30,1085833,82.68
18,35,1084956,82.68
18,40,1080188,82.72
18,45,1050131,83.06
18,50,793417,83.36
19,20,1043818,82.77
19,25,1043722,82.77
19,30,1042287,82.76
19,35,1035858,82.75
19,40,1014840,82.81
19,45,946558,83.36
19,50,663820,83.96
20,20,322567,87.56
20,25,322567,87.56
20,30,322567,87.56
20,35,322564,87.56
20,40,317704,87.46
20,45,291178,87.64
20,50,223260,87.30
